study_name,study_value,method,runs,mean_best_raw_objective,std_best_raw_objective,mean_best_valid_energy,mean_feasible_hit_rate,mean_approx_gap,mean_elapsed_seconds,mean_effective_shots,mean_estimated_billed_seconds,mean_estimated_qpu_cost_usd,win_rate,ci95_best_raw_objective_low,ci95_best_raw_objective_high,ci95_feasible_hit_rate_low,ci95_feasible_hit_rate_high,ci95_win_rate_low,ci95_win_rate_high,p_value_vs_random_best_valid
regime,low_correlation,spsa,3,-0.3721971852558396,0.05231428235580506,-0.42885572054777005,1.0,0.009566912808500055,0.019377889000073385,3840.0,24.010903348338616,0.0,0.0,-0.4445830064807314,-0.322760563992566,1.0,1.0,0.0,0.0,1.0
regime,sparse_covariance,bayesian_optimization,3,-0.4178590146602135,0.056447244896451323,-0.46251383947324604,1.0,0.011414528496778079,0.5566162779966058,3840.0,24.011664874002843,0.0,0.0,-0.497057648008189,-0.36959254496694466,1.0,1.0,0.0,0.0,1.0
regime,sparse_covariance,classical_markowitz,3,-0.46251383947324604,0.05879049938880035,-0.46251383947324604,1.0,0.0,0.00013397266593528911,0.0,0.0,0.0,1.0,-0.5436945284753543,-0.40637498933872224,1.0,1.0,1.0,1.0,1.0
regime,sparse_covariance,random,3,-0.41172093592751563,0.044944607797092896,-0.46251383947324604,1.0,0.006193849707286903,0.018983861332041368,3840.0,24.01073049933863,0.0,0.0,-0.4743211338640944,-0.3708846915756017,1.0,1.0,0.0,0.0,1.0
regime,sparse_covariance,spsa,3,-0.4131955670458377,0.06415874388986431,-0.46251383947324604,1.0,0.003679034934595753,0.018734069667213287,3840.0,24.01052243067291,0.0,0.0,-0.5028335128624093,-0.35619892487669436,1.0,1.0,0.0,0.0,1.0
shot_budget,128,bayesian_optimization,3,-0.3161029732109182,0.0837685795931408,-0.36146509283537304,1.0,0.01968151803460357,0.5845466666675444,1920.0,24.008062542006275,0.0,0.0,-0.4338040267119803,-0.24560732326938453,1.0,1.0,0.0,0.0,1.0
shot_budget,128,classical_markowitz,3,-0.36146509283537304,0.10582012012547024,-0.36146509283537304,1.0,0.0,0.0001353886667250966,0.0,0.0,0.0,1.0,-0.5085661952267606,-0.2640860714520589,1.0,1.0,1.0,1.0,1.0
shot_budget,128,random,3,-0.31057748475094704,0.09250068410635097,-0.36146509283537304,1.0,0.023437240803821886,0.012590999996367222,1920.0,24.007007112340943,0.0,0.0,-0.4412569010141505,-0.24006743194556482,1.0,1.0,0.0,0.0,1.0
shot_budget,128,spsa,3,-0.30335279250592867,0.09686725492533224,-0.36146509283537304,1.0,0.017025743226248686,0.012329680665667789,1920.0,24.00687027701012,0.0,0.0,-0.4400173116900237,-0.22683490451472696,1.0,1.0,0.0,0.0,1.0
shot_budget,2048,bayesian_optimization,3,-0.3118179714332373,0.0929507476396642,-0.36146509283537304,1.0,0.0,0.68693508333187,30720.0,24.059877833671635,0.0,0.0,-0.4426192398847948,-0.2351021545418314,1.0,1.0,0.0,0.0,1.0
shot_budget,2048,classical_markowitz,3,-0.36146509283537304,0.10582012012547024,-0.36146509283537304,1.0,0.0,0.00013588866810702407,0.0,0.0,0.0,1.0,-0.5085661952267606,-0.2640860714520589,1.0,1.0,1.0,1.0,1.0
shot_budget,2048,random,3,-0.31059550041826933,0.09020456720580702,-0.36146509283537304,1.0,0.0,0.07099316666669135,30720.0,24.057711639667104,0.0,0.0,-0.4377720628164539,-0.23835346860941672,1.0,1.0,0.0,0.0,1.0
shot_budget,2048,spsa,3,-0.29543780038626594,0.08202056401124787,-0.36146509283537304,1.0,0.0,0.07183527766756015,30720.0,24.058184348328115,0.0,0.0,-0.41124031790273613,-0.23175795324326712,1.0,1.0,0.0,0.0,1.0
shot_budget,512,bayesian_optimization,3,-0.31069600537744957,0.0894365764739048,-0.36146509283537304,1.0,0.0059742888027584755,0.4522707639989676,7680.0,24.0188262780066,0.0,0.0,-0.43700552328627995,-0.24181576991115553,1.0,1.0,0.0,0.0,1.0
shot_budget,512,classical_markowitz,3,-0.36146509283537304,0.10582012012547024,-0.36146509283537304,1.0,0.0,0.00013987533505617952,0.0,0.0,0.0,1.0,-0.5085661952267606,-0.2640860714520589,1.0,1.0,1.0,1.0,1.0
